mmsi,imo,vessel_name,year_of_build,flag,dwt,teu_capacity,draft,loa,lbp,breadth_extreme,breadth_moulded,vessel_type
413378770,9736535,Zhong Gu Shang Hai,2015.0,CHN,41222.0,2500.0,10.7,180.0,177.0,32.0,32.0,fully cellular containership
413495140,9736547,Zhong Gu Guang Zhou,2016.0,CHN,41200.0,2500.0,10.7,179.9,176.85,,32.18,fully cellular containership
413906234,,Yue Wan Tong 628,,CHN,,,,66.0,,18.0,,general cargo with container capacity
563020400,9737474,Tokyo Triumph,2017.0,SGP,146792.0,13870.0,15.5,365.9,350.0,,51.2,fully cellular containership
563029900,9737498,Taipei Triumph,2017.0,SGP,146792.0,14000.0,14.0,365.94,350.0,51.34,51.2,fully cellular containership
352366000,9737503,Texas Triumph,2017.0,PAN,146116.0,14000.0,14.0,365.94,350.0,51.34,51.2,fully cellular containership
352149000,9737486,Toledo Triumph,2017.0,PAN,146791.0,13870.0,15.5,365.9,350.0,,51.2,fully cellular containership
374935000,9737462,Tampa Triumph,2017.0,PAN,146792.0,13870.0,15.5,365.9,350.0,,51.2,fully cellular containership
563279200,9739666,Seaspan Benefactor,2016.0,SGP,119031.0,10100.0,15.52,337.0,320.38,48.3,48.2,fully cellular containership
563287500,9739692,Maersk Gibraltar,2016.0,SGP,119130.0,10100.0,15.52,336.96,320.34,48.32,48.2,fully cellular containership
563279300,9739678,Seaspan Beyond,2016.0,SGP,119368.0,10100.0,15.52,336.94,320.34,48.29,48.2,fully cellular containership
563278700,9739680,Maersk Genoa,2016.0,SGP,118908.0,10100.0,15.52,336.94,319.96,48.3,48.2,fully cellular containership
244140321,9735220,FWN Spirit,2017.0,NLD,10546.0,508.0,7.85,122.5,119.34,,17.0,general cargo with container capacity
244150516,9735232,FWN Space,2018.0,NLD,10546.0,508.0,7.82,122.5,119.34,,17.0,general cargo with container capacity
247348700,9687306,Grendi Futura,2014.0,ITA,11585.0,773.0,7.6,179.46,169.85,29.8,26.21,roll on roll off with container capacity
636017103,9740457,Maersk Skarstind,2016.0,LBR,111614.0,9443.0,15.02,300.0,287.0,48.29,48.25,fully cellular containership
256486000,9740665,Izmit Express,2017.0,MLT,37056.0,2586.0,11.0,186.02,176.92,,35.19,fully cellular containership
,9740653,Mersin Express,2016.0,TUR,36974.0,2586.0,11.0,186.02,176.97,,35.2,fully cellular containership
413906244,,Huan Bao 516,,CHN,,,4.3,60.0,,16.0,,general cargo with container capacity
413210240,,Hui Hai Long 198,,CHN,,,4.5,92.0,,16.0,,general cargo with container capacity
440112000,9742168,HMM Promise,2018.0,KOR,134419.0,11010.0,16.02,330.0,316.4,,48.2,fully cellular containership
440117000,9742170,HMM Blessing,2018.0,KOR,134455.0,11010.0,16.02,330.06,316.4,,48.2,fully cellular containership
431772000,9741449,One Owl,2017.0,JPN,139335.0,14026.0,15.79,364.15,349.2,,50.6,fully cellular containership
477884600,9742027,Glory Shengdong,2016.0,HKG,12325.0,1020.0,8.23,142.99,140.0,,22.6,fully cellular containership
370651000,9741401,One Crane,2016.0,PAN,139335.0,14000.0,15.0,364.15,349.2,,51.0,fully cellular containership
